team,name,number,position,height_cm,weight_kg,nationality
안양 정관장 레드부스터스,라숀 토마스,25.0,파워 포워드,198.0,108.0,USA
안양 정관장 레드부스터스,김준형,35.0,스몰 포워드,201.1,78.0,KOR
안양 정관장 레드부스터스,송한준,44.0,스몰 포워드,198.0,84.0,KOR
안양 정관장 레드부스터스,한승희,51.0,파워 포워드/센터,196.0,102.8,KOR
안양 정관장 레드부스터스,박찬호,13.0,센터,201.0,107.0,KOR
안양 정관장 레드부스터스,김종규,15.0,센터,206.3,104.5,KOR
안양 정관장 레드부스터스,존 무니,33.0,센터,206.0,110.0,USA
부산 KCC 이지스,이호현,1.0,포인트 가드,182.0,74.0,KOR
부산 KCC 이지스,허웅,3.0,슈팅 가드,185.0,82.0,KOR
부산 KCC 이지스,김동현,5.0,슈팅 가드,190.0,88.0,KOR
부산 KCC 이지스,최진광,6.0,포인트 가드,176.0,68.0,KOR
부산 KCC 이지스,허훈,7.0,포인트 가드,180.0,80.0,KOR
부산 KCC 이지스,이주영,10.0,슈팅 가드,182.0,76.0,KOR
부산 KCC 이지스,이현호,30.0,가드,178.6,74.4,KOR
부산 KCC 이지스,조혁재,0.0,포워드,187.0,84.0,KOR
부산 KCC 이지스,최준용,2.0,스몰 포워드,200.2,100.0,KOR
